asset_turnover,buyback_yield,capex_to_revenue,cash_ratio,cash_to_debt,cogs_to_revenue,mscore,zscore,current_ratio,days_inventory,debt_to_equity,debt_to_assets,debt_to_ebitda,debt_to_revenue,e10,effective_interest_rate,equity_to_assets,enterprise_value_to_ebit,enterprise_value_to_ebitda,enterprise_value_to_revenue,earning_yield_greenblatt,fscore,gross_profit_to_assets,interest_coverage,inventory_turnover,inventory_to_revenue,liabilities_to_assets,longterm_debt_to_assets,price_to_book_ratio,price_to_earnings_ratio,price_to_earnings_ratio_nri,price_earnings_growth_ratio,price_to_free_cashflow,price_to_operating_cashflow,rate_of_return,scaled_net_operating_assets,yoy_ebitda_growth,yoy_eps_growth,yoy_revenue_growth,0
0.66,4.09,0.05,0.74,0.64,0.62,-2.5,3.62,1.28,9.04,0.86,0.31,1.51,0.51,1.41,2.29,0.36,12.52,10.86,3.63,7.99,4.0,25.3,26.41,40.37,0.02,0.64,0.26,5.89,16.73,16.73,1.25,15.63,12.6,19.24,0.55,9.36,10.83,11.34,0.1321373127324218
0.7249315068493152,2.035573770491803,0.04,1.41027397260274,2.6484126984126983,0.25,-2.543382352941176,6.686478873239436,2.3321917808219177,89.85509433962265,0.4355555555555555,0.2979365079365079,-0.0277777777777778,0.6155555555555555,2.346875,4.028852459016393,0.406027397260274,38.396428571428565,10.187,5.541,4.647285714285713,5.971428571428572,35.763698630136986,35.9748275862069,18.506603773584903,0.0894117647058823,0.5884931506849315,0.2749180327868853,8.074626865671641,44.94063492063491,44.909523809523805,10.93625,33.83672131147541,35.27149253731343,14.260952380952382,0.4829166666666667,26.097361111111116,46.02014705882352,19.27791666666667,0.0
0.54,1.08,0.02,1.65,3.09,0.14,-2.49,10.81,2.05,89.85509433962265,0.22,0.13,0.74,0.26,1.61,3.94,0.58,37.5,32.68,11.36,2.67,8.0,46.2,29.14,18.506603773584903,0.0894117647058823,0.42,0.13,10.27,52.32,52.32,2.42,32.41,30.42,21.82,0.36,39.03,45.69,25.51,0.2332931690862077
0.36,0.14,0.04,0.66,0.13,0.4,-1.49,2.64,1.47,81.44,0.77,0.37,4.44,1.5,2.39,5.23,0.48,34.13,22.86,7.71,2.93,4.0,21.77,4.83,4.48,0.09,0.52,0.36,3.31,39.87,39.87,4.44,33.68,27.72,11.95,2.13,25.6,-17.03,36.64,0.1551629520006168
0.7249315068493152,2.035573770491803,0.0868918918918919,1.41027397260274,2.6484126984126983,0.4375342465753424,-2.543382352941176,6.686478873239436,2.3321917808219177,89.85509433962265,0.4355555555555555,0.2979365079365079,-0.0277777777777778,0.6155555555555555,2.346875,4.028852459016393,0.406027397260274,38.396428571428565,10.187,5.541,4.647285714285713,5.971428571428572,35.763698630136986,35.9748275862069,18.506603773584903,0.0894117647058823,0.5884931506849315,0.2749180327868853,8.074626865671641,44.94063492063491,44.909523809523805,10.93625,33.83672131147541,35.27149253731343,14.260952380952382,0.4829166666666667,26.097361111111116,46.02014705882352,19.27791666666667,0.4076489316864652
0.7249315068493152,2.035573770491803,0.0868918918918919,1.41027397260274,2.6484126984126983,0.4375342465753424,-2.543382352941176,6.686478873239436,2.3321917808219177,89.85509433962265,0.4355555555555555,0.2979365079365079,-0.0277777777777778,0.6155555555555555,2.346875,4.028852459016393,0.406027397260274,38.396428571428565,10.187,5.541,4.647285714285713,5.971428571428572,35.763698630136986,35.9748275862069,18.506603773584903,0.0894117647058823,0.5884931506849315,0.2749180327868853,8.074626865671641,44.94063492063491,44.909523809523805,10.93625,33.83672131147541,35.27149253731343,14.260952380952382,0.4829166666666667,26.097361111111116,46.02014705882352,19.27791666666667,0.2408027158165402
0.24,-0.03,0.38,0.05,0.02,0.42,-2.543382352941176,1.01,0.51,54.28,1.25,0.35,3.91,1.48,3.36,4.0,0.28,15.81,10.05,3.8,6.33,5.0,13.99,3.78,6.72,0.06,0.72,0.3,1.98,18.96,18.96,10.93625,33.83672131147541,8.49,-2.85,0.64,69.19,212.9,-6.01,0.2210235380014834
0.93,0.5,0.13,1.44,2.6484126984126983,0.24,-2.83,19.1,2.32,30.11,0.4355555555555555,0.2979365079365079,-0.0277777777777778,0.6155555555555555,1.34,4.028852459016393,0.65,48.25,43.6,11.58,2.07,7.0,70.24,35.9748275862069,12.12,0.02,0.35,0.2749180327868853,15.41,78.51,78.51,4.1,74.86,41.46,20.21,0.31,42.79,21.46,35.86,0.1322023694657497
0.87,1.8,0.02,1.77,1.37,0.55,-2.56,6.86,3.14,112.4,0.57,0.27,1.2,0.36,1.01,4.59,0.48,14.41,13.08,3.94,6.94,8.0,38.91,19.88,3.25,0.17,0.52,0.27,6.4,17.36,17.36,0.27,17.76,16.15,22.69,0.51,78.0,111.04,39.78,-0.2868189280323516
1.53,2.035573770491803,0.02,0.78,0.85,0.66,-2.26,0.92,1.74,76.09,2.34,0.39,5.32,0.27,-0.79,8.9,0.17,86.02,38.74,1.93,1.16,6.0,52.0,1.01,4.8,0.14,0.83,0.37,16.69,44.94063492063491,44.909523809523805,10.93625,33.83672131147541,790.77,14.260952380952382,0.24,243.23,95.0,6.69,1.5393034799432803
0.29,2.52,0.03,4.62,1.18,0.18,-3.02,2.63,5.49,250.23,1.4,0.44,2.75,1.55,6.17,3.73,0.32,10.94,9.28,5.22,9.14,6.0,23.84,7.65,1.46,0.12,0.68,0.43,4.98,64.65,64.65,3.81,12.16,11.44,23.26,0.24,5.27,-73.73,1.95,0.1143829216840483
1.66,2.035573770491803,0.07,0.54,0.82,0.9,-2.31,4.86,1.04,31.41,1.37,0.29,2.35,0.21,0.11,3.19,0.21,123.11,35.52,3.22,0.81,4.0,16.83,4.84,11.62,0.08,0.79,0.29,20.42,189.85,189.85,4.47,89.96,31.39,20.99,0.42,26.82,25.71,28.41,0.230360557355829
0.38,2.7,0.02,1.45,2.6484126984126983,0.14,-2.7,12.9,2.09,89.85509433962265,0.4355555555555555,0.2979365079365079,-0.0277777777777778,0.6155555555555555,2.37,4.028852459016393,0.76,29.17,24.91,10.54,3.43,7.0,32.92,35.9748275862069,18.506603773584903,0.0894117647058823,0.24,0.2749180327868853,5.53,49.53,49.53,8.83,31.38,29.97,8.23,0.49,6.49,-0.33,13.5,0.1660603986664116
0.54,0.72,0.04,1.04,1.09,0.55,-1.76,6.9,2.8,200.66,0.28,0.17,1.1,0.34,3.41,1.68,0.59,26.35,22.37,6.89,3.8,7.0,23.98,46.6,1.82,0.3,0.41,0.17,5.83,30.3,30.3,1.63,42.91,34.45,20.3,0.69,51.87,47.63,44.93,-0.0529310769342375
0.39,-0.37,0.02,1.29,1.07,0.36,-2.8,4.28,1.78,6.93,0.46,0.24,1.75,0.63,0.77,3.49,0.51,36.29,18.97,6.79,2.76,5.0,25.01,8.17,52.65,0.01,0.49,0.24,5.07,175.89,175.89,9.18,23.57,21.92,22.43,0.52,-3.5,-71.88,4.53,-0.3250815387310528
0.34,-0.24,0.06,4.43,0.64,0.52,-2.78,2.82,6.26,56.93,0.87,0.32,2.5,1.0,1.42,2.91,0.37,51.39,16.69,6.64,1.95,8.0,16.3,5.85,6.41,0.08,0.57,0.32,5.32,65.49,65.32,1.58,20.22,16.92,22.25,0.59,153.29,182.72,21.18,0.2760874145711759
